,Lens ID_Train,Abstract_Train,index,Lens ID_Test,Abstract_Test,Dickson,Andy,Bill
46,051-858-967-360-549,"This paper develops a simple yet powerful typology of scholarly theory, based on the 5W questions: Who?, What?, Where?, When?, and Why?. It also develops a list of the twelve distinct methods used by scholars. These are then evaluated in terms of the 5W questions. Classifying theory types and methods allows scholars and students to better appreciate the advantages and disadvantages of different theory types and methods. Classifications of theory and method can and should be important components of a system for classifying scholarly documents. Researchers and students are presently limited in their ability to search by theory type or method. As a result, scholars often re-invent previous research of which they were unaware.",46,006-598-784-555-44X,"So far, within the Library and Information Science (LIS) community, Knowledge Organization (KO) has developed its own very successful solutions to document search, allowing for the classification and search of millions of books. However, current KO solutions are limited in expressivity as they only support queries by document properties, e.g., by title, author and subject. In parallel, within the Artificial Intelligence and Semantic Web communities, Knowledge Representation (KR), has developed very powerful end expressive techniques which, via the use of ontologies, support queries by any entity property (e.g., the properties of the entities described in a document). However, KR has not scaled yet to the level of KO, mainly because of the lack of a precise and scalable entity specification methodology. In this paper we present DERA, a new methodology, inspired by the faceted approach, as introduced in KO, that retains all the advantages of KR and compensates for the limitations of KO. DERA guarantees at the same time quality, extensibility, scalability and effectiveness in search.",,,
47,036-074-742-305-080,"An increasing amount of images are being uploaded, shared, and retrieved on the Web. These large image collections need to be properly stored, organized and easily retrieved. Tags have a key role in image retrieval but it is difficult for those who upload the images to also undertake the quality tag assignment for potential future retrieval by others. Relying on professional keyword assignment is not a practical option for large image collections due to resource constraints. Although a number of content-based image retrieval systems have been launched, they have not demonstrated sufficient utility on large-scale image sources on the web, and are usually used as a supplement to existing text-based image retrieval systems. An alternative to professional image indexing can be social tagging -- with two major types being photo-sharing networks and image labeling games. Here we analyze these applications to evaluate their usefulness from the semantic point of view. We also investigate whether social tagging behaviour can be managed. The findings of the study have shown that social tagging can generate a sizeable number of tags that can be classified as interpretive for an image, and that tagging behaviour has a manageable and adjustable nature depending on tagging guidelines.",47,100-423-835-468-358,"Creative professionals in advertising, marketing, design and journalism search for images to visually represent a concept for their project. The main purpose of this paper is to present search facets derived from an analysis of documents known as briefs, which are widely used in creative industries as requirement documents describing information needs. The briefs specify the type of image required, such as the content and context of use for the image and represent the topic from which the searcher builds an image query. We take three main sources—user image search behaviour, briefs, and image search engine search facets to examine the search facets for image searching in order to examine the following research question—are search facet schemes for image search engines sufficient for user needs, or is revision needed? We found that there are three main classes of user search facet, which include business, contextual and image related information. The key argument in the paper is that the facet “keyword/tag” is ambiguous and does not support user needs for more generic descriptions to broaden search or specific descriptions to narrow their search — we suggest that a more detailed search facet scheme would be appropriate.",,,
48,032-707-667-937-548,"The paper gives a short overview of the history of use of UDC in Internet subject gateways (SGs) with an English interface, from 1993 to 2006. There were in total, nine quality controlled SGs that were functional for shorter or longer periods of time. Their typology and functionality is described. Quality SGs have evolved and the role of classification has changed accordingly from supporting subject organization on the interface and automatic categorization of resources, towards supporting a semantic linking, control and vocabulary mapping between different indexing systems in subject hubs and federated SGs. In this period, many SGs ceased to exist and little information remains available regarding their status. SGs currently using UDC, for some part of their resource organization, do not use a UDC subject hierarchy at the interface and its role in resource indexing has become more difficult to observe. Since 2000, UDC has become more prevalent in East European SGs, portals and hubs, which are outside the scope of this research. This paper is an attempt to provide a record on this particular application of UDC and to offer some consideration of the changes in requirements when it comes to the use of library classification in resource discovery.",48,003-162-710-191-077,"In this article, several procedures (e.g., measurements, information retrieval analyses, power law, association rules, hierarchical clustering) are introduced which were made on a pilot digital library. Information retrievals of web users from 01/01/2003 to 01/01/2006 on the internal search engine of the pilot digital library have been analyzed. With the power law method of data processing, a constant information retrieval pattern has been established, stable over a longer period of time. After this, the data have been analyzed. On the basis of the accomplished measurements and analyses, a series of mental models of web users for global (educational) purposes have been developed (e.g., the metamodel of thought hierarchy of web users, the segmentation model of web users), and the users were profiled in four different groups (adventurers, observers, applicable, and know-alls). The article concludes with the construction of a new knowledge management solution called multidimensional rank thesaurus.",,,
49,062-086-201-884-316,"Domain analysis helps visualize the semantic intellectual content of a coherent group, or domain. A domain is a group with an ontological base, an underlying teleology, common hypotheses and epistemology, and social semantics. FRBR has spawned a family of conceptual models, and much writing. A recent second anthology about the FRBR models raises the question of whether a coherent domain has formed around the FRBR family. Domain analysis is used here to visualize the semantic content of the FRBR family domain, and to compare its two main component groups, scholar authors and practitioner authors. Results show a common teleology with some subtle differences surrounding implementation of the FRBR family of models.",49,140-916-495-285-235,"This study gives an initial appraisal of research activity in Spain surrounding ""knowledge organization"".",,,
50,110-502-601-552-555,"The architecture of multilingual software systems is sometimes centred around an intermediate language. The question is analyzed to what extent this approach can be useful for multilingual thesauri, in particular regarding the functionality the thesaurus is designed to fulfil. Both the runtime use, and the construction and maintenance ofthe system is taken into consideration. Using the perspective of general language technology enables to draw on experience from a broader range of fields beyond thesaurus design itself as well as to consider the possibility of using a thesaurus as a knowledge module in various systems which process natural language. Therefore the features which thesauri and other natural-language processing systems have in common are emphasized, especially at the level of systems design and their core functionality. (Author)",50,080-806-590-613-16X,"Searching for a specific type of information through a technical document seems at first consideration to be a well-delimited task, if we consider the strong characteristics of these document. The study of a certain number of technical documents and more particularly of external maintenance and user documentations reveals that beyond an apparent homogeneity lies a great diversity. This dual consideration is the object of the present article.",,,
51,099-651-790-941-367,"<p>This article shows how visual representations have progressively taken the lead over classical language-based models of knowledge organization (KO). The paper adopts a theoretical and historical perspective and focuses on the consequences of the changes in the volume of data generated by data production on the KO models. Until now, data visualization tools have been used mainly by researchers with expertise in textual data processing or in computational linguistics. But now, these tools are accessible to a greater number of users. Thus, there are new issues at stake for KO, other professions and institutions for gathering data that contribute to defining new standards and KO representations.  </p>",51,015-768-793-097-167,"The organisation of knowledge for exploitation and re-use in the modern enterprise is often a most perplexing challenge. The entire knowledge management life-cycle (for example - create, capture, organize, store, search, and transfer) is impacted by the organisation of intellectual capital into a corporate taxonomy or at the least a knowledge map (often incorrectly used interchangeably). Determining the extent to which such an objective is achieved is the focus of what is known as a knowledge audit. In this practice-oriented article, the authors review the fundamentals of creating a taxonomy, the use of meta-data in a necessary process known as classification and the role of expertise locators where the knowledge is not explicit but resides within experts in the form of tacit knowledge. The authors conclude with a framework for developing a corporate taxonomy and how such a project may be executed. The conceptual contribution of this article is the postulation that corporate taxonomies that are designed to facilitate knowledge audits lead to greater organizational impact.",,,
52,068-842-015-943-027,"This paper takes a second look at three prevailing main themes in knowledge organization: i) the academic disciplines as the main structural principle; ii) the fiction/non-fiction distinction; and iii) the appropriate unit of analysis in online retrieval systems. The history and origin of bibliographic classification [Dewey, Bliss, Mills, Beghtol] are discussed from the perspective of pragmatist philosophy and social studies of science [Kuhn, Merton, Reica]. Choices of structural principles in different schemes are found to rely on more or less implicit philosophical foundations, ranging from rationalism to pragmatism. It is further shown how the increasing application of faceted structures as basic structural principles in universal classification schemes [DDC, UDC] impose rationalistic principles and structures for knowledge organization which are not in alignment with the development of knowledge in the covered disciplines. Further evidence of rationalism in knowledge organization is the fiction/non-fiction distinction, excluding the important role of artistic resources for, in particular, humanistic research. Finally, for the analysis of appropriate bibliographic unit, it is argued that there is a need to shift towards a semiotic approach, founded on an understanding of intertextuality, rather than applying standard principles of hierarchical decomposition of documents. It is concluded that a change in classification research is needed, founded on a more historical and social understanding of knowledge.",52,194-556-078-156-224,"Different approaches to the classification of a knowledge field include empiristic, rationalistic, historicist, and pragmatic methods. This paper demonstrates how these different methods have been applied to the classification of psychology. An etymological approach is insufficient to define the subject matter of psychology, because other terms can be used to describe the same domain. To define the subject matter of psychology from the point of view of its formal establishment as a science and academic discipline (in Leipzig, 1879) is also insufficient because this was done in specific historical circumstances, which narrowed the subject matter to physiologically-related issues. When defining the subject area of a scientific field it is necessary to consider how different ontological and epistemological views have made their influences. A subject area and the approaches by which this subject area has been studied cannot be separated from each other without tracing their mutual historical interactions. The classification of a subject field is theory-laden and thus cannot be neutral or ahistorical. If classification research can claim to have a method that is more general than the study of the concrete developments in the single knowledge fields the key is to be found in the general epistemological theories. It is shown how basic epistemological assumptions have formed the different approaches to psychology during the 20th century. The progress in the understanding of basic philosophical questions is decisive both for the development of a knowledge field and as the point of departure of classification. The theoretical principles developed in this paper are applied in a brief analysis of some concrete classification systems, including the one used by PsycINFO / Psychological Abstracts. The role of classification in modern information retrieval is also briefly discussed.",,,
53,032-920-635-083-229,"The typology of texts in which terms are functioning has been developed. This typology includes texts using terms, texts fixing them, and as well as texts in which terms appear for the first time. The characteristics of such texts are enumerated: coherency, communicative address, etc. Two approaches to studying terms are described: 1. from term to the text, 2. from text to the term",53,017-656-214-265-143,"Automatic subject indexing addresses problems of scale and sustainability and can be at the same time used to enrich existing metadata records, establish more connections across and between resourc ...",,,
54,005-477-590-821-001,"This study employs the FRBR (Functional Requirements for Bibliographic Records) conceptual model to provide in-depth investigation on the characteristics of social tags by analyzing the bibliographic attributes of tags that are not limited to subject properties. FRBR describes four different levels of entities (i.e., Work, Expression, Manifestation, and Item), which provide a distinguishing understanding of each entity in the bibliographic universe. In this research, since the scope of data analysis focuses on tags assigned to web documents, consideration on Manifestation and Item has been excluded. Accordingly, only the attributes of Work and Expression entity were investigated in order to map the attributes of tags to attributes defined in those entities. The content analysis on tag attributes was conducted on a total of 113 web documents regarding 11 attribute categories defined by FRBR. The findings identified essential bibliographic attributes of tags and tagging behaviors by subject. The findings showed that concerning specific subject areas, taggers exhibited different tagging behaviors representing distinctive features and tendencies. These results have led to the conclusion that there should be an increased awareness of diverse user needs by subject in terms of the practical implications of metadata generation.",54,004-982-241-501-860,"The subject of this article is folksonomies on the Internet. One of the largest folksonomies on the Internet in terms of number of users and tagged websites is the computer program del.icio.us, where more than 100,000 people have tagged the websites that they and others find using their own keywords. How this is done in practice and the patterns to be found are the focus of this article. The empirical basis is the collection of 76,601 different keywords with a total frequency of 178,215 from 500 randomly chosen taggers on del.icio.us. at the end of 2005. The keywords collected were then analyzed quantitatively statistically by uncovering their frequency and percentage distribution and through a statistical correspondence analysis in order to uncover possible patterns in the users' tags. Subsequently, a qualitative textual analysis of the tags was made in order to find out by analysis which tagging strategies are represented in the data material. This led to four conclusions. 1) the distribution of keywords follows classic power law; 2) distinct tagging communities are identifiable; 3) the most frequently used tags are situated on a general-specific axis; and 4) nine distinct tagging strategies are observed. These four conclusions are put into perspective collectively in respect of a number of more general and theoretical considerations concerning folksonomies and the classification systems of the future.",,,
55,154-969-566-820-758,"This article deals with the meaningful processing of information in relation to two systems of information processing: pre-coordination and post-coordination. The different approaches are discussed, with emphasis on the need for a controlled vocabulary in information retrieval. Assigned indexing, which employs a controlled vocabulary, is described in detail. Types of indexing language can be divided into two broad groups - those using pre-coordinated terms and those depending on post-coordination. They represent two different basic approaches in processing and information retrieval. The historical development of these two approaches is described, as well as the two tools that apply to these approaches: thesauri and subject headings.",55,096-129-764-840-553,"The paper will look into different patterns of facet analysis used in the UDC schedules and how these affect the scheme presentation, the underlying data structure and the management of the classification scheme. From the very beginning, UDC was designed to represent the universe of knowledge as an integral whole allowing for subjects/concepts from all fields of knowledge to be combined, linked and the nature of their relationships made explicit. In Otlet's original design, the emphasis for his new type of classification was on the coordination of classmarks at the point of searching, i.e., post-coordination, which he firmly rooted in an expressive notational system. While some UDC classes exhibit various patterns of facet analytical theory proper, others, although used in an analytico-synthetic fashion, follow less canonical structural patterns. The authors highlight the lack of connection made throughout the various stages of UDC restructuring between: a) theoretical requirements of an overarching facet analytical theory as a founding principle guiding the construction of schedules; and, b) practical requirements for an analytico-synthetic classification in terms of notational presentation and data structure that enables its use in indexing and retrieval, as well as its management online.",,,
56,070-541-958-070-965,"The Internet challenges designers of reference resources to structure user interfaces so that they facilitate quick access to bibliographies. Designers can organize bibliographies in chronological order of publication, alphabetical listing by author or title and/or subject-headings; or can follow a subject classification scheme from the relevant field. Chronological order of publication and alphabetical listings of authors and titles are the simplest ways to organize bibliographic materials, but these methods usually fail to present the thematic relations among the various items. The subject classification is the most systematic presentation, but the most complicated to develop. This study explores the subject classification model, elaborates its rationale, demonstrates an exemplary faceted subject classification scheme grounded in solid scientific foundations, and clarifies the scientific foundations of the three-phase structuring methodology that was utilized. The exemplary classificatory model is a seven-facet subject classification scheme designed for classifying scholarly papers in the field of Logotherapy. The study, in particular the scientific structuring methodology, provides an example for structuring bibliographic resources in the social sciences, as well as in other academic fields.",56,063-962-153-078-208,"This study exemplifies an integrated methodological approach to domain analysis. The study analyzes the field of social work. It is aimed at developing a systematic, comprehensive, and scientifically valid knowledge map, and its applicability as an efficient tool to adequately represent knowledge in the field. The map is composed of seven parts: foundation (meta-knowledge), social worker, environment, organization, area of practice, method, and client. The study followed a qualitative four-phase research methodology. The first phase was a phenomenological analysis of the basic characteristics of social work as a social service. The analysis resulted in a seven-facet subject classification. In the second phase the conceptual skeleton was elaborated, and adjusted to the field of social work by a grounded-theory methodology. The data used for grounding the model were 14 social work resources. The model was tested in the third phase by classifying 200 terms randomly selected from the Dictionary of Social Work (Barker, 1999). Finally, in the fourth phase we classified 197 papers published in two leading journals, Social Work and Social Service Review, in three successive years, 1997, 1998, and 1999. This exemplary study has implications for domain analysis. The paper discusses these implications.",,,
57,166-898-814-966-01X,"Department of Information Science Sao Paulo State University-UNESP Graduate School of Information Science, Av. Hygino Muzzi Filho 737",57,085-055-928-143-263,"Sao Paulo State University-UNESP Graduate School of Information Science, Av. Hygino Muzzi Filho, 737",,,
58,078-451-133-512-02X,"The scholarly community is increasingly employing the Web both for publication of scholarly output and for locating and accessing relevant scholarly literature. Organization of this vast body of digital information assumes significance in this context. The sheer volume of digital information to be handled makes traditional indexing and knowledge representation strategies ineffective and impractical. It is, therefore, worth exploring new approaches. An approach being discussed considers the intrinsic semantics of texts of documents. Based on the hypothesis that noun phrases in a text are semantically rich in terms of their ability to represent the subject content of the document, this approach seeks to identify and extract noun phrases instead of single keywords, and use them as descriptors. This paper presents a methodology that has been developed for extracting noun phrases from Portuguese texts. The results of an experiment carried out to test the adequacy of the methodology are also presented.",58,025-077-447-234-296,"In 1989, the existence of an online union catalogue, the National Bibliographic Database-PORBASE, raised the urgent need for mechanisms of co-operation in the field of subject authority control. A national co-operative project called CLIP (Compatibilizacao de Linguagens de Indexacao em Portugues) was launched. With CLIP special libraries will assume responsibility for the final content of the authority file with respect to terminology for subject access in different subject areas. Reference is made to the general situation in Portuguese libraries with respect to the availability and application of subject indexing tools, and also to the work being carried out towards standardization and harmonization of procedures in such matters",,,
59,050-962-085-082-050,"From the viewpoint of the Kuhnian scientific revolution, paradigms of knowledge organization are examined. As an influential achievement, Faceted Classification is qualified as a paradigm today and tomorrow. Three features of the paradigm, i.e. features in theory, cognition, and methodology, are described, along with a critical overview of research and practice in our field",59,072-088-802-348-051,"<p>Interoperability refers to the ability of two or more systems or components to exchange information and to use the information that has been exchanged. This article presents the major viewpoints of interoperability, with the focus on semantic interoperability. It discusses the approaches to achieving interoperability as demonstrated in standards and best practices, projects, and products in the broad domain of knowledge organization.  </p>",,,
60,132-396-141-682-245,"<p>The article identifies the core literature available on flood ontologies and presents a review on these ontologies from various perspectives like its purpose, type, design methodologies, ontologies (re)used, and also their focus on specific flood disaster phases. The study was conducted in two stages: i) literature identification, where the systematic literature review methodology was employed; and, ii) ontological review, where the parametric approach was applied. The study resulted in a set of fourteen papers discussing the flood ontology (FO). The ontological review revealed that most of the flood ontologies were task ontologies, formal, modular, and used web ontology language (OWL) for their representation. The most (re)used ontologies were SWEET, SSN, Time, and Space. METHONTOLOGY was the preferred design methodology, and for evaluation, application-based or data-based approaches were preferred. The majority of the ontologies were built around the response phase of the disaster. The unavailability of the full ontologies somewhat restricted the current study as the structural ontology metrics are missing. But the scientific community, the developers, of flood disaster management systems can refer to this work for their research to see what is available in the literature on flood ontology and the other major domains essential in building the FO. </p>",60,038-563-198-984-816,"Creation and development of formal domain ontology of Occupational Therapy (OTO) requires the prescription and formal evaluation of the results through specific criteria. UPON Methontology of development ontologies was followed to create OTO ontology, and was implemented by using Protege-OWL. Accuracy of OTO ontology was assessed using a set of ontology design criteria. This paper describes a software engineering approach to model domain ontology for occupational therapy resources (OTO) using Natural Language Programming (NLP) technology. The rules were written to annotate the domain concepts using Java Annotation Patterns Engine (JAPE) grammar. It is used to support regular expression matching and thus annotate OT concepts by using the GATE developer tool. This speeds up the time-consuming development of the ontology, which is important for experts in the domain who face time constraints and high workloads. The rules provide significant results: the pattern matching of OT concepts based on the lookup list produced 403 correct concepts and the accuracy was generally higher. Using NLP technique is a good approach to reducing the domain expert’s work, and the results can be evaluated. This study contributes to the understanding of ontology development and evaluation methods to address the knowledge gap of using ontology in the decision support system component of occupational therapy.",,,
61,003-149-126-851-754,"Third part of a series of articles of which Pt.1 was published in KO 23(1996)No.1, p.25-33, Pt.2 in No.3, p.157-168. Pt.4 will follow in KO 24(1997)No.1. In addition to the important distinctions between the fundamental concepts and terms (tags) used in Onomantics and Terminology, as reported in the first two parts of this essay, several other interesting comparisons can be made. First, with reference to formats, both the structure and nomenclature used for terminological entries (records) in ISO 1087 parallel those found in dictionaries and suggest a semantic rather than an onomantic point of view. Second, a large number of borrowed terms taken from Lexicography and Linguistics can be found in this glossary for the terminology of Terminology. Sometimes the definitions for these terms identify them as borrowed concepts drawn from the vocabulary used by lexicographers. However, sometimes new meanings are stipulated for these terms without any markings to show that they are not borrowed concepts. Moreover, in all these cases, since the original and the newly stipulated concepts are similar, ambiguity is unavoidable. Third, some concepts that might be useful for terminologists are not included in ISO 1087: a few examples are explained. They are all concepts which lexicographers do not need and, consequently, they have no terms for them. It seems apparent that they have been omitted from the vocabulary of Terminology simply because they are new concepts without established terms. To explain the reasons for the formats, terms and omissions found in the leading glossary for the terminology of Terminology takes us into a realm of speculation that is too complicated for inclusion here, but I will discuss it in Part IV of this series, with a focus on the problems of neologisms",61,130-002-174-568-206,"Lexicography is the science that undergirds the preparation of dictionaries as lists of words and phrases whose meanings are defined on the basis of semantic analysis. By contrast, Onomantics reverses this paradigm : it identifies concepts that are related to each other and need to be represented as important tools in the production and organization of knowledge. Terminology bridges these two approaches : it draws heavily on the lexicographic model while moving stolidly toward an onomantic framework - from a semantic focus on the meanings of words to an onomasiological concern with the identification and representation of concepts. The article is the first of a Two Part sequence in which the basic concepts and the rationale of Onomantics are identified. They provide a framework for enhancing the ability of Terminology to contribute to Knowledge Organization. The essential logic of Onomantics as the science of concept representation is explained and its general relationship to Terminology as a growing but mixed field of applications is discussed. (Author)",,,
62,109-321-719-727-13X,"Information science (IS) is concerned with the searching and retrieval of text and other in- formation (IR), mostly in electronic databases and on the Internet. Such databases contain fulltext (or other kinds of documents, e.g. pic- tures) and/or document representations and/or different kinds of ""value added information"". The core theoretical problem for IS is re- lated to the determination of the usefulness of different ""subject access points"" in electronic databases. This problem is again related to theories of meaning and semantics.2 This paper outlines some important principles in the design of documents done in the field of ""composition studies"". It maps the possible subject access points and presents research done on each kind of these. It shows how theories of IR must build on or relate to different theories of concepts and meaning. It discusses two contrasting theories of semantics worked out by Ludwig Wittgenstein: ""the picture theory"" and ""the theory of language games"" and demonstrates the different consequences for such theories for IR. Finally, the implica- tions for information professionals are discussed.",62,098-828-423-432-071,"The comparison between some lists of ethical values prevalent in various professions related to knowledge organization shows that three of these values (intellectual freedom, professionalism and social responsibility) could be the core of a general knowledge organization ethics and that two other values (intellectual property and right to privacy) could be added to them in the future, as they are already among the fundamental values of library profession.",,,
63,048-970-965-076-466,"Folksonomy, a free-form tagging, is a user-generated classification system of web contents that allows users to tag their favorite web resources with their chosen words or phrases selected from natural language. These tags (also called concepts, categories, facets or entities) can be used to classify web resources and to express users' preferences. Folksonomy-based systems allow users to classify web resources through tagging bookmarks, photos or other web resources and saving them to a public web site like Del.icio.us. Thus information about web resources and online articles can be shared in an easy way. The purpose of this study is to provide an overview of the folksonomy tagging phenomenon (also called social tagging and social bookmarking) and explore some of the reasons why we need controlled vocabularies, discussing the problems associated with folksonomy.",63,067-137-702-908-40X,"The essence of folksonomies is user-created descriptive metadata as opposed to the traditional sender-determined descriptive metadata in taxonomies and faceted classification. We briefly introduce the beginning and principles of folksonomy and discuss the categorizing concept of folksonomies on the basis of the computer program delicious. The selection of the metadata tagged is not accidental, rather tagging follows a pattern that proves to be the pattern for the classic power law, which, in many complex systems is seen to unfold as an imitation-dynamic that creates an asymmetry, where a few descriptive metadata are often reproduced and the majority seldom reproduced. In del.icio.us, it is the very broadband basic subject headings that are often reproduced and achieve power in the system - which in cognitive psychology is called cognitive basic categories - while the small, more specific subject headings are seldom reproduced. The law of power's underlying imitation-dynamic in del.icio.us is explained from the perspective of different theoretical paradigms, i.e. network, economy and cognition. The theorectical and speculative conclusion is that the law of power and asymmetry is biased by a cognitive economizing through a simplification principle in the users' construction of descriptive metadata. Free tagging in folksonomies is comparable to empirical experiments in free categorization. Users often choose broad basic categories, because that requires the least cognitive effort. The consequences are that folksonomy is not necessarily a better, more realistic and cheaper method of creating metadata than that which can be generated through taxonomies, faceted classification or search algorithms. Folksonomy as a self-organizing system likely cannot create better and cheaper descriptive metadata.",,,
64,006-260-890-457-159,"This paper includes some of the results of a study that looks at three types of text for automatically deriving shot-level indexing to moving images. Audio description is a voice added to the sound track of moving pictures to provide information for the visually impaired. We analyse two one-hour parts of a television production broadcast as a mini-series in 1997. We compare our results with those of a previous study, which identifies some of the characteristics of audio description and the associated moving image. We found close correspondence among some aspects studied and for other aspects much less correspondence, but for reasons we are able to explain. In addition, in the process of conducting the current study we further developed our methodology and now feel that it is a mature method for analysing audio description text as a source for generating indexing to the associated moving image.",64,106-561-636-619-444,"The aim of this work is to propose a description of the semantics of psychological verbs, verbs that express feelings, and communication verbs. By identifying sense components, by specifying sense elements which differentiate closely related verbs, and by studying sense variations, we found new criteria permitting the constitution of verbs semantic classes so as to better structure the lexicon and to better organize semantic descriptions. In this paper, we first represent the verb semantics by means of the Lexical Conceptual Structure (LCS), adding if necessary, new primitives and new semantic fields. We then study sense variations with the aim of making semantic description more accurate, comprehensive and flexible",,,
65,070-541-958-070-965,"The Internet challenges designers of reference resources to structure user interfaces so that they facilitate quick access to bibliographies. Designers can organize bibliographies in chronological order of publication, alphabetical listing by author or title and/or subject-headings; or can follow a subject classification scheme from the relevant field. Chronological order of publication and alphabetical listings of authors and titles are the simplest ways to organize bibliographic materials, but these methods usually fail to present the thematic relations among the various items. The subject classification is the most systematic presentation, but the most complicated to develop. This study explores the subject classification model, elaborates its rationale, demonstrates an exemplary faceted subject classification scheme grounded in solid scientific foundations, and clarifies the scientific foundations of the three-phase structuring methodology that was utilized. The exemplary classificatory model is a seven-facet subject classification scheme designed for classifying scholarly papers in the field of Logotherapy. The study, in particular the scientific structuring methodology, provides an example for structuring bibliographic resources in the social sciences, as well as in other academic fields.",65,099-563-150-734-423,"Designing systematic access to Internet resources is a major item on the agenda of researchers and practitioners in the field of information science, and is the focus of this study. A critical analysis of classification schemes used in major portals and Web classified directories exposes inconsistencies in the way they classify Internet resources. The inconsistencies indicate that the developers fail to differentiate the various classificatory models, and are unaware of their different rationales. The study establishes eight classificatory models for resources available to Internet users. Internet resources can be classified by subjects, objects, applications, users, locations, reference sources, media, and languages. The first five models are content-related; namely they characterize the content of the resource. The other three models are format-related; namely they characterize the format of the resource or its technological infrastructure. The study identifies and formulates the eight classificatory models, analyzes their rationales, and discusses alternative ways to combine them in a faceted integrated classification scheme.",,,
66,032-707-667-937-548,"The paper gives a short overview of the history of use of UDC in Internet subject gateways (SGs) with an English interface, from 1993 to 2006. There were in total, nine quality controlled SGs that were functional for shorter or longer periods of time. Their typology and functionality is described. Quality SGs have evolved and the role of classification has changed accordingly from supporting subject organization on the interface and automatic categorization of resources, towards supporting a semantic linking, control and vocabulary mapping between different indexing systems in subject hubs and federated SGs. In this period, many SGs ceased to exist and little information remains available regarding their status. SGs currently using UDC, for some part of their resource organization, do not use a UDC subject hierarchy at the interface and its role in resource indexing has become more difficult to observe. Since 2000, UDC has become more prevalent in East European SGs, portals and hubs, which are outside the scope of this research. This paper is an attempt to provide a record on this particular application of UDC and to offer some consideration of the changes in requirements when it comes to the use of library classification in resource discovery.",66,012-652-438-359-587,"Considering fields as diverse as the history of science, Internet studies, border studies, and coalition politics, the article gives an historical overview of how the knowledge around queer phe- nomena has been structured, tabulated, and spacialized: the hazards, coercive and productive qualities, as well as queer's para- doxical relationship as both resistant to and reliant on categories, classification, and knowledge structures. In the process, the article also considers the development of Western hierarchical knowledge structures in relation to societal power dynamics, proximity, and space.",,,
67,074-500-461-363-345,"Bringing together document collections in merged information resources is becoming more common, but presents the problem of integrating content and metadata that have been created in different knowledge domains, using different classification schemes. This paper describes how a multidisciplinary team attempted to integrate metadata structures from several different collections in the development of an environmental information system. The results of this qualitative study suggest that though designers and users from diverse backgrounds could conceptualize and articulate the potential new knowledge the merged system might reveal, the perceived informational value of different access points varied with disciplinary membership, and the compromises forced by this merged collection created barriers and missed opportunities for the creation of new knowledge. However, people with a variety of backgrounds were able to contribute to negotiations about metadata decisions, suggesting that this may be a key realm of translation between diverse individuals in future collaborative environments. Consequences for domain-specific knowledge organization, and for a translation and integration role for those in the field of information science, are discussed.",67,188-192-965-023-127,"Work centered design of classification schemes is an emerging area of research which poses particular challenges to domain analysis and scheme construction. A key challenge in work centered design of classification schemes is the evolving semantics of work. This article introduces a work centered approach to the design of classification schemes, based on the framework of cognitive work analysis. We launch collaborative task situations as a new unit of analysis for capturing evolving semantic structures in work domains. An example case from a cognitive work analysis of three national film research archives illustrates the application of the framework for identifying actors' needs for a classification scheme to support collaborative knowledge integration. It is concluded that a main contribution of the new approach is support for empirical analysis and overall design of classification schemes that can serve as material interfaces for actors' negotiations and integration of knowledge perspectives during collaborative work.",,,
68,127-475-456-358-110,"Department of Information Science Sao Paulo State University - UNESP, Av. Hygino Muzzi Filho, 737",68,111-093-646-386-599,"Information Science Department Sao Paulo State University UNESP, Av. Higyno Muzzi Filho, 737, Marilia, Sao Paulo, CEP: 17525-900",,,
69,103-683-153-528-499,"<p>The study uses the Database of Names and Biographies (DNB) as an example to explore how in the transformation of original data into linked data, semantic enrichment can enhance engagement in digital humanities. In the preliminary results, we have defined instance-based and schema-based categories of semantic enrichment. In the instance-based category, in which enrichment occurs by enhancing the content of entities, we further determined three types, including: 1) enriching the entities by linking to diverse external resources in order to provide additional data of multiple perspectives; 2) enriching the entities with missing data, which is needed to satisfy the semantic queries; and, 3) providing the entities with access to an extended knowledge base. In the schema-based categories that enrichment occurs by enhancing the relations between the properties, we have identified two types, including: 1) enriching the properties by defining the hierarchical relations between properties; and, 2) specifying properties’ domain and range for data reasoning. In addition, the study implements the LOD dataset in a digital humanities platform to demonstrate how instances and entities can be applied in the full texts where the relationship between entities are highlighted in order to bring scholars more semantic details of the texts. </p>",69,144-109-666-243-086,"<p>Recent years have seen the rise of user-generated contents (UGCs) in online social media. Diverse UGC sources and information overload are making it increasingly difficult to satisfy personalized information needs. To organize UGCs in a user-centered way, we should not only map them based on textual topics but also link them with users and even user communities. We propose a multi-dimensional framework to organize information by connecting UGCs, users, and user communities. First, we use a topic model to generate a topic hierarchy from UGCs. Second, an author-topic model is applied to learn user interests. Third, user communities are detected through a label propagation algorithm. Finally, a multi-dimensional information organization pattern is formulated based on similarities among the topic hierarchies of UGCs, user interests, and user communities. The results reveal that: 1) our proposed framework can organize information from multiple sources in a user-centered way; 2) hierarchical topic structures can provide comprehensive and in-depth topics for users; and, 3) user communities are efficient in helping people to connect with others who have similar interests.</p>",,,
