,Lens ID,Document Case,Abstract,Abstract_trim_2_string
187,115-406-999-927-24X,Train Case,"Taxonomies are becoming an increasingly important tool for companies to effectively manage information, particularly in the business consulting environment, where information is considered a main asset and a key product. This paper describes a case study of developing a taxonomy system for a regional business consulting company. The taxonomy, consisting of 12 main categories and approximately 500 terms, was built based on the existing knowledge structure and information needs of consultants in a selected company. This prototype can be conveniently utilised and adapted by other companies in their efforts to develop their own taxonomy system.",taxonomi becom increasingli import tool compani effect manag particularli busi consult environ consid main asset key product describ case taxonomi system region busi consult compani taxonomi consist main categori approxim built exist structur consult select compani prototyp conveni utilis adapt compani effort taxonomi system
188,118-692-472-273-242,Test Case,"At the end of 2005, impending digitization efforts and several developments related to the creation of access and discovery tools for informational and cultural objects resulted in a series of responses that continue to ripple throughout the library, museum and archive communities. These developments have broad implications for all three communities because of the goals shared by each in the creation of description, control and enhanced access to informational and cultural objects. This position paper will consider new implementations of faceted navigation and browsing features in online catalogs. It is also a response to challenges to develop interwoven approaches to the study of information seeking and the design and implementation of search and discovery systems. Urgently needed during this time of experimentation, development and implementation is a framework for system evaluation and critical analysis of needed and missing features that is grounded in traditional principles, borne out by practice. Such a framework could extend feature analysis protocols established during the early years of online catalog development.",2005 impend digit effort sever relat creation access discoveri tool cultur object result seri respons continu rippl throughout museum archiv commun broad implic commun goal share creation descript control enhanc access cultur object posit consid new implement facet navig brows featur onlin catalog respons challeng interwoven seek design implement search discoveri system urgent time experiment implement framework system evalu critic analysi featur ground tradit principl born practic framework could extend featur analysi protocol establish earli year onlin catalog
189,127-482-211-718-005,Train Case,"Research can benefit by periodical consideration of its status in a long-term perspective. In knowledge organization (KO), a number of basic questions remain to be addressed in the 21st cen- tury. Ten of them are identified and synthetically discussed: (1) Can KO principles be extended to a broader scope, including hypertexts, multimedia, museum objects, and monuments? (2) Can the two basic approaches, ontological and epistemological, be reconciled? (3) Can any ontological foundation of KO be identified? (4) Should disciplines continue to be the structural base of KO? (5) How can viewpoint warrant be respected? (6) How can KO be adapted to local collection needs? (7) How can KO deal with changes in knowledge? (8) How can KO systems represent all the dimensions listed above? (9) How can software and formats be improved to better serve these needs? (10) Who should do KO: information professionals, authors or readers?",research benefit period consider statu long perspect number basic question remain address turi identifi synthet discuss principl extend broader scope hypertext multimedia museum object monument basic ontolog epistemolog reconcil ontolog foundat identifi disciplin continu structur viewpoint warrant respect adapt local collect deal chang system repres dimens list softwar format improv better serv profession reader
190,129-518-699-808-841,Train Case,"Ontology, in its philosophical meaning, is the discipline investigating the structure of reality. Its findings can be relevant to knowledge organization, and models of knowledge can, in turn, offer relevant ontological suggestions. Several philosophers in time have pointed out that reality is structured into a series of integrative levels, like the physical, the biological, the mental, and the cultural, and that each level plays as a base for the emergence of more complex levels. More detailed theories of levels have been developed by Nicolai Hartmann and James K. Feibleman, and these have been considered as a source for structuring principles in bibliographic classification by both the Classification Research Group (CRG) and Ingetraut Dahlberg. CRG's analysis of levels and of their possible application to a new general classification scheme based on phenomena instead of disciplines, as it was formulated by Derek Austin in 1969, is examined in detail. Both benefits and open problems in applying integrative levels to bibliographic classification are pointed out.",ontolog philosoph mean disciplin investig structur realiti find relev model turn offer relev ontolog suggest sever philosoph time realiti structur seri integr level like physic biolog mental cultur level play emerg complex level detail theori level nicolai hartmann jame feibleman consid sourc structur principl bibliograph research group ingetraut dahlberg analysi level possibl applic new gener scheme phenomena instead disciplin formul derek austin 1969 examin detail benefit open problem appli integr level bibliograph
191,139-415-373-727-671,Train Case,"The new term Representation of knowledge, applied to the framework of electronic segments of information, with comprehension of new material support for information, and a review and total conceptualisation of the terminology which is being applied, entails a review of all traditional documentary practices. Therefore, a definition of the concept of Representation of knowledge is indispensable. The term representation has been used in western cultural and intellectual tradition to refer to the diverse ways that a subject comprehends an object. Representation is a process which requires the structure of natural language and human memory whereby it is interwoven in a subject and in conscience. However, at the present time, the term Representation of knowledge is applied to the processing of electronic information, combined with the aim of emulating the human mind in such a way that one has endeavoured to transfer, with great difficulty, the complex structurality of the conceptual representation of human knowledge to new digital information technologies. Thus, nowadays, representation of knowledge has taken on diverse meanings and it has focussed, for the moment, on certain structures and conceptual hierarchies which carry and transfer information, and has initially been based on the current representation of knowledge using artificial intelligence. The traditional languages of documentation, also referred to as languages of representation, offer a structured representation of conceptual fields, symbols and terms of natural and notational language, and they are the pillars for the necessary correspondence between the object or text and its representation. These correspondences, connections and symbolisations will be established within the electronic framework by means of different models and of the goal domain, which will give rise to organisations, structures, maps, networks and levels, as new electronic documents are not compact units but segments of information. Thus, the new representation of knowledge refers to data, images, figures and symbolised, treated, processed and structured ideas which replace or refer to documents within the framework of technical processing and the recuperation of electronic information.",new represent appli framework electron segment comprehens new materi support review total conceptualis terminolog appli entail review tradit documentari practic therefor definit concept represent indispens represent use western cultur intellectu tradit refer divers comprehend object represent process requir structur natur languag human memori wherebi interwoven conscienc howev time represent appli process electron combin aim emul human mind endeavour transfer great difficulti complex structur conceptu represent human new digit technolog nowaday represent taken divers mean focuss moment certain structur conceptu hierarchi carri transfer initi current represent use artifici intellig tradit languag document refer languag represent offer structur represent conceptu symbol natur notat languag pillar necessari correspond object text represent correspond connect symbolis establish electron framework mean model goal domain give rise organis structur map network level new electron document compact unit segment new represent refer data imag figur symbolis treat process structur idea replac refer document framework technic process recuper electron
192,140-916-495-285-235,Test Case,"This study gives an initial appraisal of research activity in Spain surrounding ""knowledge organization"".",give initi apprais research activ spain surround
193,141-208-622-576-887,Train Case,"This article proposes a generic classification scheme for the purpose of organizing electronic documents in business enterprises in the SMME sector. Data were gathered from literature on information organization, business information, competitive intelligence and information systems, as well as through an empirical study of information organization practices in a sample of 24 small businesses in three different provinces in South Africa. The concepts gathered from folder systems for documents, email and Internet favourites, augmented by concepts derived from the literature, were analyzed using the technique of facet analysis. Business processes feature prominently in the resultant scheme.",articl propos gener scheme purpos electron document busi enterpris smme sector data gather literatur busi competit intellig system empir practic sampl small busi provinc south africa concept gather folder system document email internet favourit augment concept deriv literatur analyz use techniqu facet analysi busi process featur promin result scheme
194,146-114-322-954-991,Train Case,"As the literature in both knowledge organization and knowledge management continues to flourish and address issues common to both fields, it becomes more difficult to delineate the boundaries of each discipline. By exploring the relationship between them, as well as the knowledge environment within which a knowledge management system must operate, it is clear that much of the functionality subsumed under the heading of knowledge management requires a strong knowledge organization foundation to support it. By understanding the differences between these two disciplines, as well as the areas of inquiry within knowledge organization that are essential to the successful implementation of knowledge management systems, a wide field of fruitful research directions becomes apparent for both knowledge organization and knowledge management researchers.",literatur manag continu flourish address issu common becom difficult delin boundari disciplin explor relationship environ manag system must oper clear much function subsum head manag requir strong foundat support understand disciplin area inquiri essenti success implement manag system wide fruit research direct becom appar manag research
195,158-139-147-446-223,Train Case,"Knowledge exchange between individuals working in a firm, across and even within divisions, does not occur automatically (Szulanski 1996). It is not obvious that people exchange ideas, point one another towards useful information or give feedback, even in the absence of any motives for not cooperating in such a manner. However, as a firm’s competitive advantage is closely related to its innovative capacity, which is largely based on how it uses knowledge that is already available, the questions that arise are: how does knowledge flow within a firm? What can be done to stimulate or re-direct knowledge flow within a firm?",exchang individu firm across even divis occur automat szulanski 1996 obviou peopl exchang idea anoth toward use give feedback even absenc motiv cooper manner howev firm competit advantag close relat innov capac larg use alreadi avail question aris flow firm done stimul direct flow firm
196,164-643-190-599-559,Train Case,"Several systems for the classification of fiction have been proposed to date, but experience shows that such classification partially depends on the culture and literary education in specific countries. Slovenian public libraries have traditionally used UDC as the only subject information on belles-lettres. Research has shown that users would prefer richer subject information. Therefore an attempt was made to enhance UDC by adding subject information, that should be helpful to users and librarians. The newly proposed Alternative Model system contains lists of verbal and alpha-numerical denotations for the basic groups of belles-lettres book material (main-genres: lyrics, drama, epics) and all other categorical criteria (language of the original literary work, literature to which the work belongs, genre, sub-genre) and half-categorical (accessibility of the content of literary works, origin within the periods of literary history, the century in which the literary work was written, the rhythm of the language). All these lists are available, but not included in this paper. The idea of the Alternative Model system is to show the possibilities of making the classification of belles-lettres in libraries more helpful, efficient and exact.",sever system fiction propos date experi show partial depend cultur literari educ specif countri slovenian public tradit use udc bell lettr research shown prefer richer therefor attempt made enhanc udc ad help librarian newli propos altern model system contain list verbal alpha numer denot basic group bell lettr book materi main genr lyric drama epic categor criteria languag origin literari literatur belong genr genr half categor access content literari origin period literari histori centuri literari written rhythm languag list avail idea altern model system show possibl make bell lettr help effici exact
197,171-003-626-863-17X,Train Case,"Although researchers have theorized the critical importance of classification in the organization of information, the classification approach seems to have given way to the alphabetical subject approach in retrieval tools widely used in libraries, and research on how users utilize classification or classification-like arrangements in information seeking has been scant. To better understand whether searchers consider classificatory structures a viable alternative to information retrieval, this article reports on a study of how 24 library and information science students used Yahoo! directories, a popular search service resembling classification, in completing an assigned simple task. Several issues emerged from the students' reporting of their search process and a comparison between hierarchical navigation and keyword searching: citation order of facets, precision vs. recall, and other factors influencing searchers' successes and preferences. The latter included search expertise, knowledge of the discipline, and time required to complete the search. Without a definitive conclusion, we suggest a number of directions for further research.",although research theoriz critic import seem given alphabet retriev tool wide use research util like arrang seek scant better understand whether searcher consid classificatori structur viabl altern retriev articl report student use yahoo directori popular search servic resembl complet assign simpl task sever issu emerg student report search process comparison hierarch navig keyword search citat order facet precis recal factor influenc searcher success prefer latter search expertis disciplin time requir complet search without definit conclus suggest number direct research
198,172-261-380-859-581,Test Case,"This paper is a review of genre analysis of author abstracts carried out in the area of English for Special Purposes (ESP) since 1990. Given the descriptive character of such analysis, it can be valuable for Information Science (IS), as it provides a picture of the variation in author abstracts, depending on the discipline, culture and language of the author, and the envisaged context. The authors claim that such knowledge can be useful for information professionals who need to revise author abstracts, or use them for other activities in the organization of knowledge, such as subject analysis and control of vocabulary. With this purpose in mind, we summarize various findings of ESP research. We describe how abstracts vary in structure, content and discourse, and how linguists explain such variations. Other factors taken into account are the stylistic and discoursal features of the abstract, lexical choices, and the possible sources of bias. In conclusion, we show how such findings can have practical and theoretical implications for IS.",review genr analysi abstract carri area english special purpos sinc 1990 given descript charact analysi valuabl pictur variat abstract depend disciplin cultur languag envisag context claim use profession revis abstract use activ analysi control vocabulari purpos mind summar variou find research describ abstract vari structur content discours linguist explain variat factor taken account stylist discours featur abstract lexic choic possibl sourc conclus show find practic theoret implic
199,173-631-094-662-915,Train Case,"This paper is a current assessment of the status of metadata creation and mapping between cataloger-defined field names and Dublin Core (DC) metadata elements across three digital image collections. The metadata elements that evince the most frequently inaccurate, inconsistent and incomplete DC metadata application are identified. As well, the most frequently occurring locally added metadata elements and associated pattern development are examined. For this, a randomly collected sample of 659 metadata item records from three digital image collections is analyzed. Implications and issues drawn from the evaluation of the current status of metadata creation and mapping are also discussed in relation to the issue of semantic interoperability of concept representation across digital image collections. The findings of the study suggest that conceptual ambiguities and semantic overlaps inherent among some DC metadata elements hinder semantic interoperability. The DC metadata scheme needs to be refined in order to disambiguate semantic relations of certain DC metadata elements that present semantic overlaps and conceptual ambiguities between element names and their corresponding definitions. The findings of the study also suggest that the development of mediation mechanisms such as concept networks that facilitate the metadata creation and mapping process are critically needed for enhancing metadata quality.",current assess statu metadata creation map catalog defin name dublin core metadata element across digit imag collect metadata element evinc frequent inaccur inconsist incomplet metadata applic identifi frequent occur local ad metadata element associ pattern examin randomli collect sampl metadata item record digit imag collect analyz implic issu drawn evalu current statu metadata creation map discuss relat issu semant interoper concept represent across digit imag collect find suggest conceptu ambigu semant overlap inher among metadata element hinder semant interoper metadata scheme refin order disambigu semant relat certain metadata element semant overlap conceptu ambigu element name correspond definit find suggest mediat mechan concept network facilit metadata creation map process critic enhanc metadata qualiti
200,174-044-959-189-259,Train Case,"This paper first focuses on the review of the literature of knowledge networks based on a recent analysis. Then we analyze the connotation and extension of the notion of knowledge network put forward by different field researchers, and we bring forward its notion alongside different aspects of information science. Finally, we provide further discussion and analysis about the character of knowledge networks.",first focus review literatur network recent analysi analyz connot extens notion network forward research bring forward notion alongsid aspect final discuss analysi charact network
201,174-766-280-588-960,Train Case,"We analyze the way in which the North American Industry Classification System (NAICS) handles the categorization of open source software production, foregrounding theoretical and political aspects of knowledge organization. NAICS is the industry classification scheme used by the governments of Canada, Mexico and the United States to carry out their respective economic censuses. NAICS is considered a rational system that uses the underlying economic principle of similar production processes as the basis for its classes. For the Information Sector of the economy, as formulated in NAICS, a key production process is the acquisition and defense of copyright. With open source, copyleft licensing eliminates copyright acquisition and protection as major production processes, suggesting that the open source software industry warrants a separate NAICS category. More importantly, our analysis suggests that NAICS cannot be understood as a taxonomy of objective economic activity but is instead a politically and historically contingent system of data classification.",analyz north american industri system naic handl categor open sourc softwar product foreground theoret polit aspect naic industri scheme use govern canada mexico unit state carri respect econom census naic consid ration system use underli econom principl similar product process basi class sector economi formul naic key product process acquisit defens copyright open sourc copyleft licens elimin copyright acquisit protect major product process suggest open sourc softwar industri warrant separ naic categori importantli analysi suggest naic cannot understood taxonomi object econom activ instead polit histor conting system data
202,176-358-336-937-825,Train Case,"What theoretical framework can help in building, maintaining and evaluating networked knowledge organization resources? Specifically, what theoretical framework makes sense of the semantic prowess of ontologies and peer-to-peer systems, and by extension aids in their building, maintenance, and evaluation? I posit that a theoretical work that weds both formal and associative (structural and interpretive) aspects of knowledge organization systems provides that framework. Here I lay out the terms and the intellectual constructs that serve as the foundation for investigative work into experientialist classification theory, a theoretical framework of embodied, infrastructural, and reified knowledge organization. I build on the interpretive work of scholars in information studies, cognitive semantics, sociology, and science studies. With the terms and the framework in place, I then outline classification theory's critiques of classificatory structures. In order to address these critiques with an experientialist approach an experientialist semantics is offered as a design commitment for an example: metadata in peer-to-peer network knowledge organization structures.",theoret framework help build maintain evalu network resourc specif theoret framework make sens semant prowess ontolog peer peer system extens aid build mainten evalu posit theoret wed formal associ structur interpret aspect system framework lay intellectu construct serv foundat investig experientialist theori theoret framework embodi infrastructur reifi build interpret scholar cognit semant sociolog framework place outlin theori critiqu classificatori structur order address critiqu experientialist experientialist semant offer design commit exampl metadata peer peer network structur
203,179-132-294-510-213,Test Case,"The design of records classification systems has been subject to various and often inconsistent approaches. Subject matters, record types and forms, structures and functions of the organization: archivists and records managers (whether consciously or unconsciously) have traditionally referred to any of these elements, or to a mix of some or all of them, when developing their classification tools. Only in recent times has the concept of function become central to the theory, method, and practice of records classification. I discuss advantages and limitations of the functional approach applied to records classification by showing how it has been interpreted in the literature of different countries.",design record system variou often inconsist matter record type form structur function archivist record manag whether conscious unconsci tradit refer element mix tool recent time concept function becom central theori method practic record discuss advantag limit function appli record show interpret literatur countri
204,190-805-304-109-100,Train Case,"The present paper presents a philosophical approach to knowledge organization, proposing the pragmatic doctrine of C.S. Peirce as basic analytical framework for knowledge domains. The theoretical framework discussed is related to the qualitative branch of knowledge organization theory i.e. within scope of Hjorland's domain analytical view (Hjorland and Albrechtsen 1995; Hjorland 2002; Hjorland 2004), and promote a general framework for analyzing domain knowledge and concepts. However, the concept of knowledge organization can be viewed in at least two perspectives, one that defines knowledge organization as an activity performed by a human actor e.g. an information specialist, and secondly a view that has the perspective of the inherent self-organizing structure of a knowledge domain the latter being investigated in the paper.",philosoph propos pragmat doctrin peirc basic analyt framework domain theoret framework discuss relat qualit branch theori scope hjorland domain analyt view hjorland albrechtsen 1995 hjorland 2002 hjorland 2004 promot gener framework analyz domain concept howev concept view least perspect defin activ perform human actor specialist secondli view perspect inher self structur domain latter investig
205,001-254-322-670-872,Train Case,"The article identifies two distinct sections, one within the public library sphere and one in academic libraries, relevant for the development of a unique Swedish classification system (the SAB-system) to be used in public libraries. These are used to analyse the social and discursive influences that led to a rejection of the DDC as the common classification system for the public libraries in Sweden. The author analyses the debate that took place in the 1910s in various publications and identifies theoretical as well as some practical reasons for rejecting the DDC. Reference is also made to the situation in Norway and Denmark at this time and their attempts to influence Sweden to accept the DDC as had been done in these countries. Conclusions are drawn that the reasons for rejection of the DDC not only is to be sought in theoretical or even practical problems regarding the system itself but in the academic library sector which, through the SAB-system, could create a lasting influence on the knowledge organisation in public libraries in order to uphold the national identity of the Swedish library system",articl identifi distinct section public sphere academ relev uniqu swedish system system use public use analys social discurs influenc reject common system public sweden analys debat took place 1910 variou public identifi theoret practic reason reject refer made situat norway denmark time attempt influenc sweden accept done countri conclus drawn reason reject sought theoret even practic problem regard system academ sector system could creat last influenc organis public order uphold nation ident swedish system
206,001-542-585-753-06X,Train Case,"This article describes the process of constructing a thesaurus based on original historical documents located in the Archivo del Reino de Valencia, one of the most important historical archives in Spain. After examining precedents, we discuss the methodology used and its application. The aim of the project was to provide visibility to information contained in these historical documents which would otherwise have remained inaccessible and to do so in the clearest, most rigorous, and most useful way possible for both the specialized user and the general public. The use of information technology as a management tool is not as common in archives, especially historical archives, as in other documentation areas such as libraries. A pilot project was therefore set up to create an intranet support for managing four specific historical archives containing documents dating from the 13 th to the 20 th centuries. The most important part of this project was that of exploring the viability of constructing a thesaurus to become part of the automated program for archive description and checking.",articl describ process construct thesauru origin histor document locat archivo reino valencia import histor archiv spain examin preced discuss methodolog use applic aim project visibl contain histor document otherwis remain inaccess clearest rigor use possibl special gener public use technolog manag tool common archiv especi histor archiv document area pilot project therefor creat intranet support manag specif histor archiv contain document date 13 centuri import project explor viabil construct thesauru becom autom program archiv descript check
207,002-733-369-145-420,Train Case,"Jung-ran Park is assistant professor at the College of Information Science and Technology, Drexel University. Prior to joining Drexel University, she worked as a cataloger at Indiana State University. She received a Ph.D. in linguistics and an MLIS from the University of Hawaii. She has applied her linguistics background to her primary research areas in knowledge organization and representation, computer-mediated communication and cross-lingual information access. Dr. Park is currently the principal investigator of a grant project ""Metadata Creation and Metadata Quality Control across Digital Collections: Evaluation of Current Practices"" from the Institute of Museum and Library Services.",jung ran park assist professor colleg technolog drexel univers prior join drexel univers catalog indiana state univers receiv linguist mli univers hawaii appli linguist background primari research area represent comput mediat commun cross lingual access park current princip investig grant project metadata creation metadata qualiti control across digit collect evalu current practic institut museum servic
208,003-162-710-191-077,Test Case,"In this article, several procedures (e.g., measurements, information retrieval analyses, power law, association rules, hierarchical clustering) are introduced which were made on a pilot digital library. Information retrievals of web users from 01/01/2003 to 01/01/2006 on the internal search engine of the pilot digital library have been analyzed. With the power law method of data processing, a constant information retrieval pattern has been established, stable over a longer period of time. After this, the data have been analyzed. On the basis of the accomplished measurements and analyses, a series of mental models of web users for global (educational) purposes have been developed (e.g., the metamodel of thought hierarchy of web users, the segmentation model of web users), and the users were profiled in four different groups (adventurers, observers, applicable, and know-alls). The article concludes with the construction of a new knowledge management solution called multidimensional rank thesaurus.",articl sever procedur measur retriev analys power associ rule hierarch cluster introduc made pilot digit retriev web 01 01 2003 01 01 2006 intern search engin pilot digit analyz power method data process constant retriev pattern establish stabl longer period time data analyz basi accomplish measur analys seri mental model web global educ purpos metamodel thought hierarchi web segment model web profil group adventur observ applic know all articl conclud construct new manag solut call multidimension rank thesauru
209,005-477-590-821-001,Train Case,"This study employs the FRBR (Functional Requirements for Bibliographic Records) conceptual model to provide in-depth investigation on the characteristics of social tags by analyzing the bibliographic attributes of tags that are not limited to subject properties. FRBR describes four different levels of entities (i.e., Work, Expression, Manifestation, and Item), which provide a distinguishing understanding of each entity in the bibliographic universe. In this research, since the scope of data analysis focuses on tags assigned to web documents, consideration on Manifestation and Item has been excluded. Accordingly, only the attributes of Work and Expression entity were investigated in order to map the attributes of tags to attributes defined in those entities. The content analysis on tag attributes was conducted on a total of 113 web documents regarding 11 attribute categories defined by FRBR. The findings identified essential bibliographic attributes of tags and tagging behaviors by subject. The findings showed that concerning specific subject areas, taggers exhibited different tagging behaviors representing distinctive features and tendencies. These results have led to the conclusion that there should be an increased awareness of diverse user needs by subject in terms of the practical implications of metadata generation.",employ function requir bibliograph record conceptu model depth investig characterist social tag analyz bibliograph attribut tag limit properti describ level entiti express manifest item distinguish understand entiti bibliograph univers research sinc scope data analysi focus tag assign web document consider manifest item exclud accordingli attribut express entiti investig order map attribut tag attribut defin entiti content analysi tag attribut conduct total 113 web document regard attribut categori defin find identifi essenti bibliograph attribut tag tag behavior find show concern specif area tagger exhibit tag behavior repres distinct featur tendenc result conclus increas awar divers practic implic metadata gener
210,012-652-438-359-587,Test Case,"Considering fields as diverse as the history of science, Internet studies, border studies, and coalition politics, the article gives an historical overview of how the knowledge around queer phe- nomena has been structured, tabulated, and spacialized: the hazards, coercive and productive qualities, as well as queer's para- doxical relationship as both resistant to and reliant on categories, classification, and knowledge structures. In the process, the article also considers the development of Western hierarchical knowledge structures in relation to societal power dynamics, proximity, and space.",consid divers histori internet border coalit polit articl give histor overview around queer nomena structur tabul spacial hazard coerciv product qualiti queer para doxic relationship resist reliant categori structur process articl consid western hierarch structur relat societ power dynam proxim space
211,016-780-208-466-573,Train Case,"Describes three tensions in the theoretical literature of indexing: chief sources of evidence indexing, process of indexing (rubrics and methods), and philosophical position of indexing scholarship. Following this exposition, we argue for a change in perspective in Knowledge Organization research. Using the difference between prescriptive and descriptive linguistics as a metaphor, we advocate for a shift to a more descriptive, rather than the customary prescriptive, approach to the theoretical and empirical study of indexing, and by extension Knowledge Organization.",describ tension theoret literatur chief sourc evid process rubric method philosoph posit scholarship follow exposit argu chang perspect research use prescript descript linguist metaphor advoc shift descript rather customari prescript theoret empir extens
212,026-156-970-219-041,Train Case,"This article argues that authorial stance should be taken into account in the indexing of scientific documents. Authorial stance has been widely studied in linguistics and is a typical feature of scientific writing that reveals the uniqueness of each author's perspective, their scientific contribution, and their thinking. We argue that authorial stance guides the reading of scientific documents and that it can be used to characterize the knowledge contained in such documents. Our research has previously shown that people reading dissertations are interested both in a topic and in a document's authorial stance. Now, we would like to propose a two-tiered indexing system. Dissertations would first be divided into paragraphs; then, each information unit would be defined by topic and by the markers of authorial stance present in the document.",articl argu authori stanc taken account scientif document authori stanc wide linguist typic featur scientif write reveal uniqu perspect scientif contribut think argu authori stanc guid read scientif document use character contain document research previous shown peopl read dissert interest topic document authori stanc like propos tier system dissert first divid paragraph unit defin topic marker authori stanc document
213,027-396-266-532-738,Test Case,"Claudio Gnoli has been working as an academic librarian since 1994. His main interest is classification theory. He has published papers on this subject in several international journals and conference pro- ceedings. He is member of the scientific advisory boards of the Universal Decimal Classification Con- sortium (UDCC) and of the journal Knowledge Organization, and vice-president of the International Society for Knowledge Organization (ISKO). Gnoli, Claudio. Classification Transcends Library Business. Knowledge Organization, 37(3), 223-229. 26 references. Abstract: Although bibliographic classifications usually adopt a perspective different from that of object classifications, the two have obvious relationships. These become especially relevant when users are looking for knowledge scattered in a wide va- riety of forms and media. This is an increasingly common situation, as library catalogues now coexist in the global digital envi- ronment with catalogues of archives, of museums, of commercial products, and many other information resources. In order to make the subject content of all these resources searchable, a broader conception of classification is needed, that can be applied to any knowledge item, rather than only bibliographic materials. To illustrate this we take an example of the research on bag- pipes in Northern Italian folklore. For this kind of research, the most effective search strategy is a cross-media one, looking for many different knowledge sources such as published documents, police archives, painting details, museum specimens, organi- zations devoted to related subjects. To provide satisfying results for this kind of search, the traditional disciplinary approach to classification is not sufficient. Tools are needed in which knowledge items dealing with a phenomenon of interest can be re- trieved independently from the other topics with which it is combined, the disciplinary context, and the medium where it oc- curs. This can be made possible if the basic units of classification are taken to be the phenomena treated, as recommended in the Leon Manifesto, rather than disciplines or other aspect features. The concept of bagpipes should be retrievable and browsable in any combination with other phenomena, disciplines, media etc. Examples are given of information sources that could be managed by this freely-faceted technique of classification.",claudio gnoli academ librarian sinc 1994 main interest theori publish sever intern journal confer ceed member scientif advisori board univers decim con sortium udcc journal vice presid intern societi isko gnoli claudio transcend busi refer abstract although bibliograph usual adopt perspect object obviou relationship becom especi relev look scatter wide rieti form media increasingli common situat catalogu coexist global digit envi ronment catalogu archiv museum commerci product mani resourc order make content resourc searchabl broader concept appli item rather bibliograph materi illustr take exampl research bag pipe northern italian folklor kind research effect search strategi cross media look mani sourc publish document polic archiv paint detail museum specimen organi zation devot relat satisfi result kind search tradit disciplinari suffici tool item deal phenomenon interest triev independ topic combin disciplinari context medium cur made possibl basic unit taken phenomena treat recommend leon manifesto rather disciplin aspect featur concept bagpip retriev browsabl combin phenomena disciplin media exampl given sourc could manag freeli facet techniqu
214,028-844-316-983-354,Train Case,"Universidade Federal do Parana (UFPR), Dept Informat Sci & Management, Informat Management Sch, BR-80060000 Curitiba, Parana, Brazil",universidad feder parana dept informat sci manag informat manag curitiba parana brazil
215,028-990-627-361-144,Train Case,This paper explores the ethics of classification. The paper outlines recent conceptual moves in knowledge organization re- search and shows that contemporary classification theory is based on a pragmatic understanding of the world. It suggests that unjust state- ments and assumptions about the world challenge contemporary library classifications and that a proper response is needed. It outlines a framework for the development of ethical classifications based on MacIntyre's practice-based ethical theory. It provides a framework within which editors and managers of library classifications can make ethically sound decisions.,explor ethic outlin recent conceptu move search show contemporari theori pragmat understand world suggest unjust state ment assumpt world challeng contemporari proper respons outlin framework ethic macintyr practic ethic theori framework editor manag make ethic sound decis
216,031-650-207-787-672,Train Case,"In the last two decades of knowledge organization (KO) research, there has been an increasing interest in the context-dependent nature of human knowledge. Contextualism maintains that knowledge is not available in a neutral and objective way, but is always interwoven with the process of knowledge production and the prerequisites of the knower. As a first step towards a systematic organization of epistemic contexts, the concept of knowledge will be considered in its onto- logical (WHAT) and epistemological (WHO) including methodological (HOW) dimensions. In current KO research, however, either the contextualism is not fully implemented (classification-as-ontology) or the ambition for a context-transcending universal KOS seems to have been abandoned (classification-as-epistemology). Based on a combined ontology and epistemology it will be argued that a phenom- ena-based approach to KO as stipulated by the Leon Manifesto, for example, requires a revision of the underlying phenomenon concept as a relation between the known object (WHAT) and the knowing subject (WHO), which is constituted by the application of specific meth- ods (HOW). While traditional subject indexing of documents often relies on the organizing principle ""levels of being"" (WHAT), for a fu- ture context indexing, two novel principles are proposed, namely ""levels of knowing"" (WHO) and ""integral methodological pluralism"" (HOW).",last decad research increas interest context depend natur human contextu maintain avail neutral object alway interwoven process product prerequisit knower first step toward systemat epistem context concept consid onto logic epistemolog methodolog dimens current research howev either contextu fulli implement ontolog ambit context transcend univers seem abandon epistemolog combin ontolog epistemolog argu phenom stipul leon manifesto exampl requir revis underli phenomenon concept relat known object know constitut applic specif meth tradit document often reli principl level ture context novel principl propos name level know integr methodolog plural
217,033-140-945-207-53X,Train Case,"Generally, Computer Science (CS) classifications are inconsistent in taxonomy strategies. It is necessary to develop CS taxonomy research to combine its historical perspective, its current knowledge and its predicted future trends - including all breakthroughs in information and communication technology. In this paper we have analyzed the ACM Computing Classification System (CCS) by means of visualization maps. The important achievement of current work is an effective visualization of classified documents from the ACM Digital Library. From the technical point of view, the innovation lies in the parallel use of analysis units: (sub)classes and keywords as well as a spherical 3D information surface. We have compared both the thematic and semantic maps of classified documents and results presented in Table 1. Furthermore, the proposed new method is used for content-related evaluation of the original scheme. Summing up: we improved an original ACM classification in the Computer Science domain by means of visualization.",gener comput inconsist taxonomi strategi necessari taxonomi research combin histor perspect current predict futur trend breakthrough commun technolog analyz acm comput system mean visual map import achiev current effect visual classifi document acm digit technic view innov lie parallel use analysi unit class keyword spheric surfac compar themat semant map classifi document result tabl furthermor propos new method use content relat evalu origin scheme sum improv origin acm comput domain mean visual
